election_id,election_name,as_of_date,party_id,party_name,party_colour,seats_won,vote_total_sum,vote_pct
1769,UNS 2024-07-09,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1769,UNS 2024-07-09,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1769,UNS 2024-07-09,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1769,UNS 2024-07-09,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1769,UNS 2024-07-09,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1769,UNS 2024-07-09,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1769,UNS 2024-07-09,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1769,UNS 2024-07-09,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1769,UNS 2024-07-09,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1770,UNS 2024-07-10,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1770,UNS 2024-07-10,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1770,UNS 2024-07-10,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1770,UNS 2024-07-10,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1770,UNS 2024-07-10,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1770,UNS 2024-07-10,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1770,UNS 2024-07-10,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1770,UNS 2024-07-10,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1770,UNS 2024-07-10,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1770,UNS 2024-07-10,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1770,UNS 2024-07-10,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1770,UNS 2024-07-10,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1770,UNS 2024-07-10,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1771,UNS 2024-07-11,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1771,UNS 2024-07-11,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1771,UNS 2024-07-11,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1771,UNS 2024-07-11,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1771,UNS 2024-07-11,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1771,UNS 2024-07-11,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1771,UNS 2024-07-11,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1771,UNS 2024-07-11,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1771,UNS 2024-07-11,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1771,UNS 2024-07-11,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1771,UNS 2024-07-11,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1771,UNS 2024-07-11,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1771,UNS 2024-07-11,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1772,UNS 2024-07-12,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1772,UNS 2024-07-12,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1772,UNS 2024-07-12,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1772,UNS 2024-07-12,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1772,UNS 2024-07-12,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1772,UNS 2024-07-12,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1772,UNS 2024-07-12,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1772,UNS 2024-07-12,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1772,UNS 2024-07-12,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1772,UNS 2024-07-12,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1772,UNS 2024-07-12,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1772,UNS 2024-07-12,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1772,UNS 2024-07-12,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1773,UNS 2024-07-13,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1773,UNS 2024-07-13,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1773,UNS 2024-07-13,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1773,UNS 2024-07-13,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1773,UNS 2024-07-13,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1773,UNS 2024-07-13,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1773,UNS 2024-07-13,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1773,UNS 2024-07-13,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1773,UNS 2024-07-13,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1773,UNS 2024-07-13,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1773,UNS 2024-07-13,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1773,UNS 2024-07-13,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1773,UNS 2024-07-13,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1774,UNS 2024-07-14,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1774,UNS 2024-07-14,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1774,UNS 2024-07-14,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
